CustomerID,Response
400,AmznPrime
1286,Walmart+
592,AmznPrime
1265,Walmart+
368,Walmart+
336,Walmart+
2086,Both Or None
1351,Walmart+
2164,AmznPrime
1943,Both Or None
1110,Walmart+
1983,Walmart+
1936,Both Or None
771,Both Or None
1449,Walmart+
1864,Both Or None
1893,Both Or None
1129,Both Or None
1379,Both Or None
644,Both Or None
1636,AmznPrime
1144,AmznPrime
888,Walmart+
545,Walmart+
290,Walmart+
284,Both Or None
1553,Walmart+
450,AmznPrime
840,Both Or None
2056,Both Or None
1909,Both Or None
1390,Walmart+
217,Both Or None
750,Both Or None
1410,Walmart+
1228,Both Or None
2113,Walmart+
1821,AmznPrime
92,Both Or None
1334,Walmart+
1775,Both Or None
1720,Both Or None
1233,Both Or None
1634,Both Or None
305,Both Or None
1204,Both Or None
20,AmznPrime
1501,Both Or None
1028,AmznPrime
1987,Walmart+
664,Walmart+
924,Walmart+
604,Both Or None
1739,Both Or None
256,Both Or None
1355,Both Or None
1155,Both Or None
2181,Walmart+
298,Walmart+
910,AmznPrime
347,AmznPrime
1769,Both Or None
362,Both Or None
160,AmznPrime
13,Both Or None
1945,Both Or None
697,Walmart+
576,Both Or None
500,Both Or None
1366,AmznPrime
1836,Both Or None
405,Both Or None
975,Both Or None
1650,Both Or None
981,AmznPrime
213,Both Or None
610,Walmart+
1222,Both Or None
860,Both Or None
659,Walmart+
2010,Both Or None
1789,Walmart+
1479,Both Or None
255,Both Or None
153,Both Or None
1190,Walmart+
93,Both Or None
2152,Walmart+
2219,Walmart+
296,Walmart+
1012,AmznPrime
1283,Walmart+
1189,Walmart+
2182,Both Or None
1429,Both Or None
1834,Both Or None
77,Both Or None
1760,Walmart+
536,Both Or None
735,Walmart+
468,Walmart+
1997,Walmart+
2134,Both Or None
1459,Walmart+
532,Both Or None
1713,AmznPrime
1842,AmznPrime
1095,Walmart+
1981,Both Or None
1247,Walmart+
1609,Walmart+
294,AmznPrime
993,Both Or None
419,Both Or None
1234,Walmart+
1358,Walmart+
1022,Both Or None
932,Walmart+
2007,Both Or None
2183,Both Or None
66,Walmart+
651,Both Or None
2083,Walmart+
1207,Both Or None
2197,Both Or None
533,Walmart+
1726,Both Or None
2100,AmznPrime
557,Both Or None
526,Both Or None
381,Walmart+
1643,Walmart+
1831,Walmart+
1741,AmznPrime
83,Both Or None
314,Walmart+
1073,AmznPrime
808,Both Or None
1241,Both Or None
811,AmznPrime
1855,Walmart+
933,Walmart+
2148,Both Or None
1466,Both Or None
2109,Both Or None
1275,Both Or None
582,Walmart+
828,Both Or None
1291,Walmart+
1143,Both Or None
725,Walmart+
1916,AmznPrime
1908,Both Or None
1289,Walmart+
1112,Walmart+
1611,Both Or None
355,Both Or None
1163,Both Or None
477,Both Or None
931,Both Or None
211,AmznPrime
755,AmznPrime
55,Walmart+
363,Both Or None
239,Walmart+
614,Both Or None
930,Both Or None
756,Walmart+
1649,Walmart+
1884,Both Or None
149,AmznPrime
2136,Both Or None
903,Both Or None
684,AmznPrime
1857,Both Or None
720,Both Or None
564,Both Or None
1258,Both Or None
144,Walmart+
858,Both Or None
1349,Walmart+
530,Both Or None
1231,Walmart+
1814,Walmart+
2175,Both Or None
1879,Both Or None
629,Both Or None
2129,Both Or None
525,Both Or None
1966,Walmart+
1170,Walmart+
1060,Both Or None
1394,Walmart+
389,Both Or None
1925,Both Or None
116,Both Or None
501,Both Or None
1500,Both Or None
1420,Walmart+
125,Both Or None
492,Both Or None
685,Walmart+
1965,Walmart+
435,Both Or None
1068,Both Or None
1890,Walmart+
915,AmznPrime
1721,AmznPrime
332,Both Or None
2119,Both Or None
1126,Walmart+
973,Both Or None
136,Walmart+
835,AmznPrime
1105,Both Or None
137,Both Or None
2092,Both Or None
885,Walmart+
702,Walmart+
1230,Both Or None
1010,Both Or None
1184,Both Or None
832,Both Or None
991,Walmart+
343,Both Or None
50,AmznPrime
1292,AmznPrime
196,Both Or None
237,Walmart+
308,AmznPrime
2200,Both Or None
281,Both Or None
988,Both Or None
47,Both Or None
1350,Walmart+
2169,Walmart+
1619,Both Or None
683,AmznPrime
2126,Walmart+
841,AmznPrime
7,Both Or None
649,AmznPrime
259,Both Or None
625,AmznPrime
997,Both Or None
1235,Both Or None
85,Both Or None
245,Both Or None
1026,Both Or None
387,Walmart+
1569,Both Or None
2076,AmznPrime
1223,AmznPrime
1717,Walmart+
2002,Both Or None
202,Walmart+
261,Both Or None
618,Walmart+
724,Both Or None
1058,Both Or None
1244,Both Or None
1467,Both Or None
510,Both Or None
1118,Walmart+
371,AmznPrime
1504,Walmart+
781,AmznPrime
2030,AmznPrime
2061,Walmart+
1648,Both Or None
1491,Both Or None
1826,Both Or None
1027,AmznPrime
1192,Both Or None
45,AmznPrime
879,Both Or None
1752,Both Or None
414,Both Or None
788,Both Or None
2074,Walmart+
535,Both Or None
1839,Both Or None
1600,Walmart+
1680,Both Or None
215,AmznPrime
342,Both Or None
1933,Walmart+
518,Walmart+
204,Both Or None
916,Both Or None
1585,Both Or None
84,AmznPrime
349,Walmart+
1973,AmznPrime
1537,Both Or None
1656,AmznPrime
752,Both Or None
666,Walmart+
249,Walmart+
2146,Walmart+
1050,Both Or None
1546,Both Or None
367,Both Or None
170,Both Or None
465,Walmart+
192,AmznPrime
1878,Walmart+
986,Both Or None
691,AmznPrime
24,Both Or None
1128,Both Or None
1416,AmznPrime
1786,Both Or None
260,Walmart+
344,Walmart+
80,Walmart+
581,Walmart+
489,Both Or None
67,Both Or None
917,Both Or None
241,Both Or None
809,AmznPrime
672,Walmart+
1591,AmznPrime
1090,AmznPrime
2194,Walmart+
1183,Both Or None
111,Walmart+
1758,AmznPrime
1335,Walmart+
1663,Both Or None
1008,Walmart+
1510,Both Or None
1107,Walmart+
1992,AmznPrime
2024,Walmart+
2035,Walmart+
1727,Both Or None
1161,AmznPrime
1655,Walmart+
2220,Walmart+
669,AmznPrime
1123,Both Or None
1832,Both Or None
1629,Walmart+
587,Both Or None
1001,Walmart+
972,Walmart+
934,Both Or None
1861,AmznPrime
531,Both Or None
131,Both Or None
967,Both Or None
722,Walmart+
1712,Both Or None
1444,Both Or None
1113,AmznPrime
693,Both Or None
1226,Both Or None
1930,Both Or None
1563,Both Or None
655,Both Or None
330,Walmart+
2082,Walmart+
2050,Both Or None
708,Both Or None
853,AmznPrime
1468,Both Or None
1343,Walmart+
2210,Both Or None
1254,Both Or None
1030,AmznPrime
6,Walmart+
1692,Walmart+
505,Both Or None
1313,AmznPrime
591,Walmart+
1541,AmznPrime
555,Both Or None
1679,Walmart+
1309,Walmart+
950,AmznPrime
1496,AmznPrime
919,AmznPrime
996,AmznPrime
918,Walmart+
661,Both Or None
2149,Both Or None
639,AmznPrime
61,Both Or None
706,Both Or None
2195,Both Or None
60,Walmart+
341,Both Or None
1728,Both Or None
868,Walmart+
819,AmznPrime
864,Walmart+
1180,AmznPrime
1131,Both Or None
2097,Both Or None
340,Both Or None
179,Walmart+
2095,Both Or None
1006,Walmart+
107,Both Or None
484,Both Or None
1043,Both Or None
641,AmznPrime
1875,AmznPrime
2142,Walmart+
825,Both Or None
1154,Both Or None
1217,Walmart+
820,Walmart+
1372,Both Or None
1785,Walmart+
1806,AmznPrime
1436,Walmart+
409,Both Or None
1550,Both Or None
2208,Walmart+
1572,Walmart+
1777,AmznPrime
1876,Walmart+
1566,Both Or None
701,Walmart+
727,AmznPrime
173,Both Or None
14,Both Or None
1195,Both Or None
431,Both Or None
2023,Both Or None
97,Both Or None
1833,Walmart+
1188,Both Or None
53,Walmart+
185,Both Or None
1324,Both Or None
78,Both Or None
1749,Both Or None
1889,AmznPrime
1963,Both Or None
1136,Walmart+
1950,Both Or None
496,Walmart+
145,Walmart+
275,Walmart+
69,Both Or None
1595,AmznPrime
1898,Walmart+
483,Both Or None
212,AmznPrime
37,Walmart+
2173,Both Or None
577,Walmart+
462,Both Or None
1404,Walmart+
485,Both Or None
2027,Both Or None
1991,Both Or None
719,Both Or None
1892,AmznPrime
1673,AmznPrime
159,Both Or None
826,Both Or None
1202,Both Or None
768,Both Or None
1762,AmznPrime
1704,Both Or None
1604,Walmart+
1308,Walmart+
1941,AmznPrime
1427,Walmart+
89,Walmart+
957,Both Or None
268,Both Or None
100,Walmart+
1323,Both Or None
777,Both Or None
682,Both Or None
951,Walmart+
602,Both Or None
795,AmznPrime
1431,Walmart+
416,Both Or None
2151,Both Or None
938,AmznPrime
1064,Both Or None
2059,Both Or None
698,Walmart+
1385,Walmart+
846,Walmart+
346,Both Or None
1160,Walmart+
2001,Both Or None
1746,AmznPrime
2005,Both Or None
646,Both Or None
850,AmznPrime
406,Walmart+
401,AmznPrime
1647,AmznPrime
857,Walmart+
2132,Both Or None
723,AmznPrime
73,Both Or None
1525,AmznPrime
88,Both Or None
621,Both Or None
1382,AmznPrime
1374,AmznPrime
599,Both Or None
2008,Both Or None
640,AmznPrime
1975,Walmart+
1706,Both Or None
1678,Both Or None
1100,Walmart+
166,Walmart+
282,Both Or None
798,Both Or None
452,AmznPrime
1782,Both Or None
677,Both Or None
1462,Both Or None
1316,Both Or None
1067,Both Or None
1297,Both Or None
58,AmznPrime
2067,AmznPrime
1580,Both Or None
1527,AmznPrime
1926,Both Or None
11,Walmart+
1797,Walmart+
897,Walmart+
1312,Walmart+
977,Walmart+
1044,Both Or None
2184,Both Or None
1157,Walmart+
1219,Both Or None
1989,Walmart+
1273,Both Or None
1912,Both Or None
1533,Walmart+
33,Walmart+
1039,Both Or None
544,Both Or None
1960,AmznPrime
122,Both Or None
690,Both Or None
2116,Both Or None
692,Walmart+
1304,Both Or None
200,AmznPrime
867,Walmart+
1552,AmznPrime
2186,Both Or None
3,Both Or None
517,Both Or None
1262,Walmart+
278,Walmart+
594,Both Or None
1448,Walmart+
335,Both Or None
1196,Both Or None
2207,Both Or None
1290,Both Or None
1341,Both Or None
2080,AmznPrime
912,AmznPrime
1481,Both Or None
1488,Both Or None
1178,Walmart+
634,Walmart+
1248,Both Or None
1812,Walmart+
715,Walmart+
2071,AmznPrime
383,Both Or None
295,Walmart+
1263,Both Or None
56,Walmart+
1518,Walmart+
178,Both Or None
157,Walmart+
928,Walmart+
1849,Both Or None
2046,Both Or None
318,Both Or None
736,Both Or None
1802,Both Or None
263,Walmart+
1361,Both Or None
2003,Both Or None
112,Both Or None
1456,Both Or None
1399,Both Or None
2191,Both Or None
1903,Walmart+
812,Both Or None
2176,Both Or None
1682,Walmart+
1803,Both Or None
2187,Walmart+
645,Both Or None
1640,Both Or None
424,Both Or None
1697,Both Or None
999,Both Or None
277,Both Or None
907,Both Or None
1978,Both Or None
2088,Both Or None
2013,Both Or None
15,Walmart+
2,Walmart+
54,AmznPrime
965,Both Or None
1453,Both Or None
939,AmznPrime
1502,Both Or None
1596,Walmart+
2041,Both Or None
123,Walmart+
509,Walmart+
2192,Walmart+
2218,Walmart+
1224,Both Or None
272,Walmart+
2217,Walmart+
1213,Both Or None
1057,Both Or None
2202,Both Or None
1079,Both Or None
1838,Walmart+
1356,Walmart+
1038,Both Or None
1381,Both Or None
1077,Both Or None
1165,Walmart+
4,Walmart+
2026,Walmart+
1526,AmznPrime
1392,Walmart+
287,Walmart+
303,AmznPrime
22,AmznPrime
1905,Both Or None
657,Walmart+
146,Both Or None
1830,Both Or None
1274,AmznPrime
242,Both Or None
283,Walmart+
358,Both Or None
1311,AmznPrime
1303,Walmart+
676,Walmart+
561,Both Or None
2117,Both Or None
774,Both Or None
1929,Walmart+
1955,Both Or None
2155,Both Or None
2029,Both Or None
783,AmznPrime
1589,Both Or None
2063,Both Or None
299,AmznPrime
2214,Walmart+
127,Both Or None
1577,Walmart+
1211,Both Or None
707,AmznPrime
1450,AmznPrime
2167,Walmart+
593,Walmart+
499,AmznPrime
1091,AmznPrime
1872,Walmart+
1562,Walmart+
1885,Both Or None
2066,Both Or None
377,Walmart+
488,Walmart+
1396,Walmart+
393,Both Or None
254,AmznPrime
1020,Walmart+
1645,AmznPrime
1097,Both Or None
1970,Both Or None
2021,Walmart+
1901,Walmart+
1976,Walmart+
603,AmznPrime
1818,AmznPrime
1383,Both Or None
35,AmznPrime
662,Walmart+
854,AmznPrime
1815,AmznPrime
2223,Both Or None
955,Walmart+
1422,Both Or None
475,Walmart+
523,AmznPrime
19,Both Or None
1761,Both Or None
1495,Both Or None
704,AmznPrime
447,Both Or None
1742,Walmart+
1049,Walmart+
586,Both Or None
1249,Both Or None
2144,Both Or None
631,Walmart+
310,Both Or None
1771,Both Or None
430,Walmart+
954,Both Or None
274,Walmart+
1923,Walmart+
1625,Walmart+
1825,Both Or None
1047,Both Or None
1059,Both Or None
269,Both Or None
1194,Both Or None
1593,Both Or None
474,Both Or None
680,Both Or None
2110,Walmart+
1538,AmznPrime
1121,Both Or None
1461,Walmart+
1400,Both Or None
115,Walmart+
1730,Both Or None
1457,AmznPrime
1603,AmznPrime
1250,Walmart+
1787,Walmart+
434,Both Or None
302,Both Or None
686,Both Or None
628,Both Or None
607,Walmart+
2051,Walmart+
1084,AmznPrime
1984,Walmart+
1880,Both Or None
1146,Both Or None
1695,Both Or None
1900,Walmart+
420,Both Or None
41,Both Or None
1342,Both Or None
980,Walmart+
741,Walmart+
1852,Both Or None
44,Walmart+
326,Both Or None
1621,Both Or None
1332,Walmart+
870,Both Or None
121,Both Or None
554,Both Or None
209,Walmart+
1731,Walmart+
1927,Both Or None
1637,Walmart+
1138,AmznPrime
1601,Both Or None
843,Both Or None
2228,Walmart+
2000,Walmart+
838,Both Or None
1412,AmznPrime
1686,Walmart+
402,AmznPrime
333,Both Or None
1641,AmznPrime
289,Walmart+
130,Both Or None
1665,AmznPrime
1210,Both Or None
1205,AmznPrime
1407,Walmart+
2157,Both Or None
247,Both Or None
1509,Both Or None
404,AmznPrime
2131,Both Or None
1858,Walmart+
2039,AmznPrime
546,Walmart+
1098,AmznPrime
1664,Walmart+
1454,Walmart+
872,AmznPrime
16,Both Or None
1172,Both Or None
1314,AmznPrime
1402,Both Or None
635,Both Or None
1724,Walmart+
1122,Both Or None
1076,Both Or None
847,Both Or None
104,Walmart+
1505,AmznPrime
1638,Walmart+
1347,Both Or None
233,Both Or None
762,Both Or None
1705,Both Or None
234,Both Or None
436,Walmart+
1871,Walmart+
1614,Both Or None
800,AmznPrime
95,Both Or None
508,Walmart+
1371,Walmart+
197,Walmart+
687,Walmart+
373,Both Or None
461,Both Or None
1080,AmznPrime
1096,Walmart+
184,Walmart+
1191,AmznPrime
1958,AmznPrime
1130,Walmart+
1365,Both Or None
1428,Both Or None
43,Both Or None
831,Walmart+
558,Both Or None
32,Walmart+
2172,Both Or None
1437,Both Or None
2133,AmznPrime
1333,Both Or None
2055,Both Or None
1517,AmznPrime
1199,Walmart+
2212,Both Or None
1242,AmznPrime
1599,Both Or None
312,AmznPrime
1438,Both Or None
746,AmznPrime
674,Both Or None
1565,AmznPrime
201,Both Or None
1472,Walmart+
370,AmznPrime
2062,Walmart+
1413,Both Or None
1014,Walmart+
498,Both Or None
494,Both Or None
423,AmznPrime
1246,Both Or None
2101,AmznPrime
709,AmznPrime
124,Both Or None
1071,AmznPrime
1828,Walmart+
1376,Both Or None
1666,Both Or None
1344,AmznPrime
1065,AmznPrime
1765,Both Or None
1687,AmznPrime
133,Both Or None
1042,Walmart+
1336,Walmart+
563,Both Or None
1736,Both Or None
426,Both Or None
718,Both Or None
751,Walmart+
2018,Walmart+
252,Both Or None
1310,Both Or None
1667,AmznPrime
1348,Both Or None
1877,Both Or None
2179,Walmart+
1295,Both Or None
321,Walmart+
258,AmznPrime
464,Walmart+
1054,Both Or None
1870,Both Or None
1620,Both Or None
446,AmznPrime
1668,Both Or None
553,AmznPrime
502,Walmart+
1101,Both Or None
1145,Both Or None
1398,Both Or None
1159,Walmart+
451,Both Or None
2168,Both Or None
1754,Walmart+
301,AmznPrime
1702,Both Or None
2090,Both Or None
1017,Walmart+
1677,AmznPrime
807,Walmart+
323,Both Or None
1587,Walmart+
1774,Both Or None
1441,AmznPrime
2111,Walmart+
817,Both Or None
1015,Both Or None
1859,Both Or None
876,Walmart+
1171,Walmart+
739,Walmart+
183,Walmart+
1041,Both Or None
1482,Both Or None
1443,Walmart+
560,Both Or None
325,AmznPrime
1951,AmznPrime
1298,AmznPrime
891,AmznPrime
49,Both Or None
802,Both Or None
1996,Walmart+
2060,Both Or None
491,Both Or None
1270,AmznPrime
929,Both Or None
1791,AmznPrime
227,Both Or None
1683,Walmart+
1590,Both Or None
1922,Both Or None
1897,Both Or None
1946,Both Or None
162,Both Or None
524,Walmart+
1694,AmznPrime
449,Walmart+
2099,Both Or None
2122,Walmart+
102,Walmart+
2121,Both Or None
733,Both Or None
1714,Both Or None
833,Walmart+
945,AmznPrime
2185,Both Or None
